Address,City,State,Latitude,Longitude
703 E US Hwy 136,Albany,MO,40.256515,-94.32496
2708 Bridge Ave,Albert Lea,MN,43.684599,-93.357486
301 Highway 34 W,Albia,IA,41.016796,-92.812989
1500 Highway 169 N,Algona,IA,43.081183,-94.234757
108 8th St SW,Altoona,IA,41.642607,-93.466299
3950 Prairie Fire NW,Altoona,IA,41.63867,-93.500963
3800 Lincoln Way,Ames,IA,42.02188,-93.669731
640 Lincoln Way,Ames,IA,42.020003,-93.619075
410 N Ankeny Blvd,Ankeny,IA,41.734603,-93.602562
2510 SW State St,Ankeny,IA,41.705035,-93.623915
"2395 S Oneida St, Ste 100",Ashwaubenon,WI,44.4986,-88.18288
1630 East 7th St,Atlantic,IA,41.40395,-94.989695
1307 18th Ave NW,Austin,MN,43.684652,-92.990542
1604 Bent Street,Bedford,IA,40.676189,-94.726446
1307 East North Ave,Belton,MO,38.81386,-94.520775
"1104 S 25th St, Box 47",Bethany,MO,40.257192,-94.027065
2900 Devils Glen Rd,Bettendorf,IA,41.553386,-90.48466
1403 N Veterans Parkway,Bloomington,IL,40.49768,-88.9499
625 SW US Highway 40,Blue Springs,MO,39.010618,-94.271186
1111 8th St,Boone,IA,42.064598,-93.87613
790 22nd Ave S,Brookings,SD,44.297545,-96.770123
9409 Zane Ave North,Brooklyn Park,MN,45.125827,-93.358784
939 Angular St,Burlington,IA,40.801506,-91.110756
3140 Agency St,Burlington,IA,40.816219,-91.136673
825 N Main St,Canton,IL,40.566044,-90.034902
905 W US Highway 30,Carroll,IA,42.070477,-94.876733
6301 University Ave,Cedar Falls,IA,42.511716,-92.43657
1843 Johnson Ave NW,Cedar Rapids,IA,41.973873,-91.6984
20 Wilson Ave SW,Cedar Rapids,IA,41.957268,-91.658497
3235 Oakland Rd NE,Cedar Rapids,IA,42.011336,-91.659779
4035 Mount Vernon Rd SE,Cedar Rapids,IA,41.975138,-91.609771
5050 Edgewood Rd NE,Cedar Rapids,IA,42.029517,-91.698501
1520 6th St SW,Cedar Rapids,IA,41.962377,-91.677765
4825 Johnson Ave NW,Cedar Rapids,IA,41.967539,-91.73275
2001 Blairs Ferry Rd NE,Cedar Rapids,IA,42.034247,-91.66913
505 Boyson Rd NE,Cedar Rapids,IA,42.046148,-91.639244
609 N 18th St,Centerville,IA,40.737564,-92.867509
2001 Court Ave,Chariton,IA,41.014648,-93.323359
901 Kelly St,Charles City,IA,43.067482,-92.675567
1300 N 2nd St,Cherokee,IA,42.765238,-95.552433
1210 Washington St,Chillicothe,MO,39.813552,-93.552582
1200 South 16th Street,Clarinda,IA,40.726999,-95.037704
901 S 4th St,Clinton,IA,41.836589,-90.191495
11925 University Ave,Clive,IA,41.600993,-93.782352
3100 W Broadway,Columbia,MO,38.953344,-92.383663
405 E Nifong Blvd,Columbia,MO,38.91205,-92.333616
25 Conley Road,Columbia,MO,38.949706,-92.296333
3010 23rd St,Columbus,NE,41.440011,-97.363837
1914 8th St,Coralville,IA,41.681771,-91.591636
