Address,City,State,Latitude,Longitude
2030 21ST ST NW,ALTOONA,IA,41.67222,-93.48256
120 ADVENTURELAND DR NE,ALTOONA,IA,41.66261,-93.46394
1910 ISAAC NEWTON DR,AMES,IA,42.00856,-93.58731
204 S DUFF AVE,AMES,IA,42.02167,-93.61027
320 NW 36TH ST,ANKENY,IA,41.76115,-93.60368
202 SE ORALABOR RD,ANKENY,IA,41.70339,-93.59687
2312 STATE ST,BETTENDORF,IA,41.52573,-90.49988
6910 MIDDLE RD,BETTENDORF,IA,41.59301,-90.46202
2283 53RD AVE,BETTENDORF,IA,41.57449,-90.50023
3510 BELMONT RD,BETTENDORF,IA,41.55636,-90.48284
1001 UTICA RIDGE PL,BETTENDORF,IA,41.55558,-90.51863
5007 53RD AVE,BETTENDORF,IA,41.57464,-90.46295
4183 HIGHWAY 21,BROOKLYN,IA,41.69181,-92.35729
205 N MARYVILLE ST,CALMAR,IA,43.18423,-91.86469
803 7TH AVE,CAMANCHE,IA,41.7875,-90.25722
4515 CONEFLOWER PKWY,CEDAR FALLS,IA,42.49775,-92.44306
7500 NORDIC DR,CEDAR FALLS,IA,42.4704,-92.44708
2019 COLLEGE ST,CEDAR FALLS,IA,42.51896,-92.45622
4116 UNIVERSITY AVE STE 104 105,CEDAR FALLS,IA,42.50611,-92.40611
124 COLLINS RD NE STE C,CEDAR RAPIDS,IA,42.02694,-91.62277
3730 WILLIAMS BLVD SW,CEDAR RAPIDS,IA,41.95528,-91.72157
251 33RD AVE SW,CEDAR RAPIDS,IA,41.94492,-91.6678
1900 16TH AVE SW,CEDAR RAPIDS,IA,41.96299,-91.69941
4201 16TH AVE SW,CEDAR RAPIDS,IA,41.96274,-91.7272
8835 RUNWAY CT SW,CEDAR RAPIDS,IA,41.8918,-91.67398
1001 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,42.03424,-91.65003
4141 CENTER POINT RD NE,CEDAR RAPIDS,IA,42.02128,-91.66587
2846 MOUNT VERNON RD SE,CEDAR RAPIDS,IA,41.97694,-91.62388
605 GILBERT ST,CHARLES CITY,IA,43.06442,-92.67955
