Type,STORE ADDRESS,CITY,STATE,ZIP CODE,Latitude,Longitude,Location
Store,"4677 Alpine Ave., N.W.",Comstock Park,MI,49321,43.048726,-85.691123,"43.048726, -85.691123"
Store,700 W. Norton Avenue,Muskegon,MI,49441,43.192946,-86.261721,"43.192946, -86.261721"
Store,"2425 Alpine Ave., N.W.",Grand Rapids,MI,49544,43.007946,-85.691653,"43.007946, -85.691653"
Store,5800 Gull Road,Kalamazoo,MI,49048,42.323609,-85.521269,"42.323609, -85.521269"
Store,5121 S. Westnedge Avenue,Portage,MI,49002,42.243329,-85.589443,"42.243329, -85.589443"
Store,5125 W. Saginaw Hwy,Lansing,MI,48917,42.741259,-84.625535,"42.741259, -84.625535"
Store,2055 W. Grand River Ave.,Okemos,MI,48864,42.721395,-84.424185,"42.721395, -84.424185"
Store,0-550 Baldwin Street,Jenison,MI,49428,42.905013,-85.794763,"42.905013, -85.794763"
Store,3825 Carpenter Road,Ypsilanti,MI,48197,42.233613,-83.676469,"42.233613, -83.676469"
Store,2333 S. Center Road,Burton,MI,48519,42.993375,-83.631274,"42.993375, -83.631274"
Store,2777 Airport Road,Jackson,MI,49202,42.274619,-84.452818,"42.274619, -84.452818"
Store,45001 Ford Road,Canton,MI,48187,42.321867,-83.484847,"42.321867, -83.484847"
Store,3955 US 31 South,Traverse City,MI,49684,44.743421,-85.644644,"44.743421, -85.644644"
Store,5150 Coolidge Hwy,Royal Oak,MI,48073,42.539123,-83.184859,"42.539123, -83.184859"
Store,14640 Pardee Road,Taylor,MI,48180,42.198398,-83.260797,"42.198398, -83.260797"
Store,5500 Clyde Park Avenue SW,Wyoming,MI,49509,42.863684,-85.68076,"42.863684, -85.68076"
Store,1920 Pipestone Road,Benton Harbor,MI,49022,42.085928,-86.419772,"42.085928, -86.419772"
Store,8400 Gratiot Road,Saginaw,MI,48609,43.416146,-84.078836,"43.416146, -84.078836"
Store,3360 Tittabawassee Road,Saginaw,MI,48604,43.480262,-83.981633,"43.480262, -83.981633"
Store,2474 W. Hill Road,Flint,MI,48507,42.946348,-83.729117,"42.946348, -83.729117"
Store,217 East US Highway 223,Adrian,MI,49221,42.0066,-83.94086,"42.0066, -83.94086"
Store,8650 W. Grand River Ave.,Brighton,MI,48116,42.539592,-83.785756,"42.539592, -83.785756"
Store,746 E. 16th Street,Holland,MI,49423,42.783069,-86.075826,"42.783069, -86.075826"
Store,2980 Wilder Rd.,Bay City,MI,48706,43.623843,-83.932797,"43.623843, -83.932797"
Store,5531 28th Street S.E.,Grand Rapids,MI,49512,42.916024,-85.532259,"42.916024, -85.532259"
Store,2200 Tiffin Avenue,Findlay,OH,45840,41.054925,-83.600612,"41.054925, -83.600612"
Store,1350 W. Lake Lansing Road,East Lansing,MI,48823,42.76303,-84.500368,"42.76303, -84.500368"
Store,4200 Highland Road,Waterford,MI,48328,42.653107,-83.368303,"42.653107, -83.368303"
Store,20401 Haggerty Road,Northville,MI,48167,42.438407,-83.437076,"42.438407, -83.437076"
Store,36600 VanDyke Avenue,Sterling Heights,MI,48312,42.562797,-83.026227,"42.562797, -83.026227"
Store,3333 E. Michigan Avenue,Jackson,MI,49202,42.256932,-84.359973,"42.256932, -84.359973"
Store,3175 S. Rochester Road,Rochester Hills,MI,48307,42.75306,-83.137165,"42.75306, -83.137165"
Store,6175 Sawmill Road,Dublin,OH,43017,40.092493,-83.093549,"40.092493, -83.093549"
Store,3651 Towne Blvd.,Franklin,OH,45005,39.499449,-84.32882,"39.499449, -84.32882"
Store,30800 Little Mack Road,Roseville,MI,48066,42.523408,-82.905674,"42.523408, -82.905674"
Store,3145 Ann Arbor-Saline Road,Ann Arbor,MI,48103,42.239348,-83.766065,"42.239348, -83.766065"
Store,15055 Hall Road,Shelby Twp.,MI,48315,43.638343,-86.349283,"43.638343, -86.349283"
Store,1500 Hillcrest Avenue,Springfield,OH,45504,39.942697,-83.830937,"39.942697, -83.830937"
Store,1700 N. Telegraph Road,Monroe,MI,48162,41.943563,-83.402637,"41.943563, -83.402637"
Store,37201 Warren Road,Westland,MI,48185,42.332584,-83.405758,"42.332584, -83.405758"
Store,1015 Pickard Street,Mt. Pleasant,MI,48858,43.611569,-84.788607,"43.611569, -84.788607"
Store,22600 Allen Road,Woodhaven,MI,48183,42.14411,-83.230105,"42.14411, -83.230105"
Store,1800 Holton Road,Muskegon,MI,49445,43.283584,-86.220533,"43.283584, -86.220533"
Store,9701 Belleville Road,Belleville,MI,48111,42.231831,-83.482616,"42.231831, -83.482616"
Store,4075 Wilmington Pike,Kettering,OH,45440,39.685451,-84.132586,"39.685451, -84.132586"
Store,5858 Springboro Pike,Dayton,OH,45449,39.670879,-84.218675,"39.670879, -84.218675"
Store,1661 Hilliard-Rome Road,Columbus,OH,43228,39.981003,-83.150861,"39.981003, -83.150861"
Store,27255 23 Mile Road,Chesterfield ,MI,48051,42.679202,-82.821356,"42.679202, -82.821356"
Store,9200 N. Main St.,Englewood,OH,45415,39.857969,-84.275096,"39.857969, -84.275096"
Store,3822 Colonel Glenn Hwy,Fairborn,OH,45324,39.77691,-84.073593,"39.77691, -84.073593"
Store,7300 Eastman Avenue,Midland,MI,48642,43.663221,-84.243209,"43.663221, -84.243209"
Store,1703 Haggerty Hwy,Commerce,MI,48390,42.54751672,-83.44225995,"42.547516721905, -83.442259951109"
Store,3298 Elida Road,Lima,OH,45805,40.771056,-84.162102,"40.771056, -84.162102"
Store,2153 Marion-Mt. Gilead Road,Marion,OH,43302,40.579275,-83.071989,"40.579275, -83.071989"
Store,1900 W. Main Street,Troy,OH,45373,40.055686,-84.241014,"40.055686, -84.241014"
Store,2591 East M21,Corunna,MI,48817,42.998654,-84.117377,"42.998654, -84.117377"
Store,5050 N. Hamilton Road,Columbus,OH,43230,40.060746,-82.860262,"40.060746, -82.860262"
Store,1391 Conant Street,Maumee,OH,43537,41.579429,-83.665958,"41.579429, -83.665958"
Store,1725 S. Wheeling Street,Oregon,OH,43616,41.618425,-83.482219,"41.618425, -83.482219"
Store,7240 W. Central Avenue,Toledo,OH,43617,41.6759,-83.719936,"41.6759, -83.719936"
Store,1500 E. Alexis Road,Toledo,OH,43612,41.720943,-83.511279,"41.720943, -83.511279"
Store,6660 W. Main Street,Kalamazoo,MI,49009,42.295927,-85.679535,"42.295927, -85.679535"
Store,3600 North Portage Road,South Bend,IN,46628,41.726334,-86.285727,"41.726334, -86.285727"
Store,5020 Grape Road,Mishawaka,IN,46545,41.706066,-86.185457,"41.706066, -86.185457"
Store,49900 Grand River Avenue,Wixom,MI,48393,42.497773,-83.541256,"42.497773, -83.541256"
Store,16300 Fort Street,Southgate,MI,48195,42.188869,-83.185514,"42.188869, -83.185514"
Store,6309 Lima Rd.,Fort Wayne,IN,46818,41.137644,-85.165193,"41.137644, -85.165193"
Store,5909 Illinois Rd.,Fort Wayne,IN,46804,41.074071,-85.217185,"41.074071, -85.217185"
Store,1355 N. Lexington-Springmill Rd.,Mansfield,OH,44906,40.789407,-82.592643,"40.789407, -82.592643"
Store,4522 Elkhart Road,Goshen,IN,46526,41.624918,-85.910019,"41.624918, -85.910019"
Store,3610 South Bremen Highway,Mishawaka,IN,46544,41.627805,-86.17272,"41.627805, -86.17272"
Store,5349 Pike Plaza Road,Indianapolis,IN,46254,39.826258,-86.251814,"39.826258, -86.251814"
Store,1424 West Carmel Drive,Carmel,IN,46032,39.972995,-86.152874,"39.972995, -86.152874"
Store,11351 E. Washington Street,Indianapolis,IN,46229,39.774252,-85.963713,"39.774252, -85.963713"
Store,150 S. Marlin Drive,Greenwood,IN,46142,39.61431,-86.162023,"39.61431, -86.162023"
Store,10841 E. US Highway 36,Avon,IN,46123,39.761138,-86.329799,"39.761138, -86.329799"
Store,5325 E. Southport Road,Indianapolis,IN,46237,39.663526,-86.077424,"39.663526, -86.077424"
Store,1560 Main Street,Hamilton,OH,45013,39.429823,-84.597933,"39.429823, -84.597933"
Store,6610 Scatterfield Road,Anderson,IN,46013,40.048959,-85.648516,"40.048959, -85.648516"
Store,4901 State Road 26 E.,Lafayette,IN,47905,40.414841,-86.812611,"40.414841, -86.812611"
Store,10301 Maysville Road,Fort Wayne,IN,46835,41.133049,-85.013035,"41.133049, -85.013035"
Store,6260 W. McGalliard Road (SR332),Muncie,IN,47304,40.221381,-85.458996,"40.221381, -85.458996"
Store,1555 DeMille Road,Lapeer,MI,48446,43.043243,-83.323232,"43.043243, -83.323232"
Store,2301 E. Markland Avenue,Kokomo,IN,46901,40.474323,-86.09881,"40.474323, -86.09881"
Store,4702 Milan Road,Sandusky,OH,44870,41.4111,-82.66354,"41.4111, -82.66354"
Store,8870 Columbus Pike,Lewis Center,OH,43035,40.161024,-83.022785,"40.161024, -83.022785"
Store,2900 Columbus Lancaster Rd. NW,Lancaster,OH,43130,39.749681,-82.655123,"39.749681, -82.655123"
Store,34835 Utica Road,Fraser,MI,48026,42.552081,-82.961021,"42.552081, -82.961021"
Store,2401 N. Prospect Avenue,Champaign,IL,61822,40.1451,-88.260879,"40.1451, -88.260879"
Store,7390 Tylersville Rd.,West Chester,OH,45069,39.354951,-84.375032,"39.354951, -84.375032"
Store,888 Eastgate North Drive,Cincinnati,OH,45245,39.098484,-84.264793,"39.098484, -84.264793"
Store,5150 Franklin St. ,Michigan City,IN,46360,41.675037,-86.890326,"41.675037, -86.890326"
Store,3911 W. State Route 22-3,Loveland,OH,45140,39.111708,-84.434207,"39.111708, -84.434207"
